Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","001","World","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","415.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","2308.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","812.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","001","World","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","939.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","20.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","278","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","23.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","29","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","30","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","57.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","60.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","61.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","322","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","117.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","124.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","794.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","245.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","002","Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","254.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","29.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","136.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","28.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","32.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","34.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","66.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","67.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","68.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","131.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","42.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","46.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","306","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","88.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","014","Eastern Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","93","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","32.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","60.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","37.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","75.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","69.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","139.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","017","Middle Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","6.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","17.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","11.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","9.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","9.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","34","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","27.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","28.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","28.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","7.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","7.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","85.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","23.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","015","Northern Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","24.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","5.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","9.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","9.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","9.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","30","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","27.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","28.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","20","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","6.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","6.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","61.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","19.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","746","Northern Africa (excluding Sudan)","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","20.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","9.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","6.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","11","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","21.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","26.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","24.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","45.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","53.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","7.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","5","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","6.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","16.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","10.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","018","Southern Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","13.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","13.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","57.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","20.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","36.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","36.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","60","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","71.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","71","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","85.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","42.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","43.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","247.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","84.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","011","Western Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","83.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","23.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","260.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","26.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","34.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","35.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","63.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","68.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","69.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","293.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","110.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","117.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","709.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","221.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","202","Sub-Saharan Africa","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","230.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","22.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","267.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","25.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","33.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","34.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","62.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","67.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","68.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","302","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","111.4","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","118.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","733","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","225.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","738","Sub-Saharan Africa (including Sudan)","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","234.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","1.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","3.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","3.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","8","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","11.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","14.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210070","Number of severely food insecure people (million) (annual value)","2021","2021","millions","17.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210070M","Number of severely food insecure male adults (million) (annual value)","2021","2021","millions","14","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210070F","Number of severely food insecure female adults (million) (annual value)","2021","2021","millions","15.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210080","Number of moderately or severely food insecure people (million) (annual value)","2021","2021","millions","89.1","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210080M","Number of moderately or severely food insecure male adults (million) (annual value)","2021","2021","millions","49.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","513","Northern America and Europe","6132","Value","210080F","Number of moderately or severely food insecure female adults (million) (annual value)","2021","2021","millions","68.6","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210040","Prevalence of undernourishment (percent) (annual value)","2021","2021","%","<2.5","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6132","Value","210010","Number of people undernourished (million) (annual value)","2021","2021","millions","","O","Missing value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210400","Prevalence of severe food insecurity in the total population (percent) (annual value)","2021","2021","%","0.8","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210400M","Prevalence of severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","3.9","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210400F","Prevalence of severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","5.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210090","Prevalence of moderate or severe food insecurity in the total population (percent) (annual value)","2021","2021","%","8.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210090M","Prevalence of moderate or severe food insecurity in the male adult population (percent) (annual value)","2021","2021","%","13.2","E","Estimated value",""
"FS","Suite of Food Security Indicators","021","Northern America","6121","Value","210090F","Prevalence of moderate or severe food insecurity in the female adult population (percent) (annual value)","2021","2021","%","19.3","E","Estimated value",""
